Longitude,Latitude,Housing Median Age,Total Rooms,Total Bedrooms,Population,Number Households,Median Income,Label
-122.28,37.83,52,1511,390,901,403,14103,0
-122.26,37.83,52,1470,330,689,309,34800,0
-122.26,37.83,52,2432,715,1377,696,25898,0
-122.26,37.83,52,1665,419,946,395,20978,0
-122.26,37.83,51,936,311,517,249,12852,0
-122.26,37.84,49,713,202,462,189,10250,0
-122.26,37.84,52,950,202,467,198,39643,0
-122.26,37.83,52,1443,311,660,292,30125,0
-122.26,37.83,52,1656,420,718,382,26768,0
-122.26,37.83,50,1125,322,616,304,20260,0
-122.27,37.82,43,1007,312,558,253,17348,0
-122.26,37.82,40,624,195,423,160,9506,0
-122.27,37.82,40,946,375,700,352,17750,0
-122.27,37.82,21,896,453,735,438,9218,0
-122.27,37.82,43,1868,456,1061,407,15045,0
-122.27,37.82,41,3221,853,1959,720,11108,0
-122.27,37.82,52,1630,456,1162,400,12475,0
-122.28,37.82,52,1170,235,701,233,16098,0
-122.28,37.82,52,945,243,576,220,14113,0
-122.28,37.82,52,1238,288,622,259,15057,0
-122.28,37.82,52,1489,335,728,244,8172,0
-122.28,37.82,52,1387,341,1074,304,12171,0
-122.29,37.82,2,158,43,94,57,25625,0
-122.29,37.83,52,1121,211,554,187,33929,0
-122.29,37.82,49,135,29,86,23,61183,0
-122.29,37.81,50,760,190,377,122,9011,0
-122.3,37.81,52,1224,237,521,159,11910,0
-122.3,37.81,48,828,182,392,133,25938,0
-122.3,37.81,52,1010,209,604,187,11667,0
-122.3,37.81,48,1455,354,788,332,8056,0
-122.29,37.8,52,1027,244,492,147,26094,0
-122.3,37.81,52,572,109,274,82,18516,0
-122.29,37.81,46,2801,644,1823,611,9802,0
-122.29,37.81,26,768,152,392,127,17719,0
-122.29,37.81,46,935,297,582,277,7286,0
-122.29,37.81,49,844,204,560,152,17500,0
-122.29,37.81,46,12,4,18,7,4999,0
-122.29,37.81,20,835,161,290,133,24830,0
-122.28,37.81,17,1237,462,762,439,9241,0
-122.28,37.81,36,2914,562,1236,509,24464,0
-122.28,37.81,19,1207,243,721,207,11111,0
-122.29,37.81,23,1745,374,1054,325,8026,0
-122.28,37.8,38,684,176,344,155,20114,0
-122.28,37.81,17,924,289,609,289,15000,0
-122.27,37.81,52,210,56,183,56,11667,0
-122.28,37.81,52,340,97,200,87,15208,0
-122.28,37.81,52,386,164,346,155,8075,0
-122.28,37.81,35,948,184,467,169,18088,0
-122.28,37.81,52,773,143,377,115,24083,0
-122.27,37.81,40,880,451,582,380,9770,0
-122.27,37.81,10,875,348,546,330,7600,0
-122.27,37.8,10,105,42,125,39,9722,0
-122.27,37.8,52,249,78,396,85,12434,1
-122.27,37.8,16,994,392,800,362,20938,0
-122.28,37.8,52,215,87,904,88,8668,0
-122.28,37.8,52,96,31,191,34,7500,0
-122.27,37.79,27,1055,347,718,302,26354,0
-122.27,37.8,39,1715,623,1327,467,18477,0
-122.26,37.8,36,5329,2477,3469,2323,20096,0
-122.26,37.82,31,4596,1331,2048,1180,28345,0
-122.26,37.81,29,335,107,202,91,20062,0
-122.26,37.82,22,3682,1270,2024,1250,12185,0
-122.26,37.82,37,3633,1085,1838,980,26104,0
-122.25,37.81,29,4656,1414,2304,1250,24912,1
-122.25,37.81,28,5806,1603,2563,1497,32177,1
-122.25,37.81,39,854,242,389,228,31250,1
-122.25,37.81,52,2155,701,895,613,25795,1
-122.26,37.81,34,5871,1914,2689,1789,28406,1
-122.24,37.82,52,1509,225,674,244,49306,1
-122.24,37.81,52,2026,482,709,456,32727,1
-122.25,37.81,52,1758,460,686,422,31691,1
-122.24,37.82,52,3481,751,1444,718,39000,1
-122.25,37.82,28,3337,855,1520,802,39063,1
-122.25,37.82,52,1424,289,550,253,50917,1
-122.25,37.82,32,3809,1098,1806,1022,26429,1
-122.25,37.82,26,3959,1196,1749,1217,30233,1
-122.25,37.83,52,2376,559,939,519,31484,1
-122.25,37.83,35,1613,428,675,422,34722,1
-122.25,37.83,52,1279,287,534,291,31429,1
-122.25,37.83,28,5022,1750,2558,1661,24234,1
-122.25,37.83,52,4190,1105,1786,1037,30897,1
-122.23,37.84,50,2515,399,970,373,58596,1
-122.23,37.84,47,3175,454,1098,485,52868,1
-122.24,37.83,41,2576,406,794,376,59560,1
-122.24,37.85,37,334,54,98,47,49643,1
-122.23,37.85,52,2800,411,1061,403,63434,1
-122.24,37.84,52,3529,574,1177,555,51773,1
-122.24,37.85,52,2612,365,901,367,72354,1
-122.22,37.85,28,5287,1048,2031,956,54570,1
-122.22,37.84,50,2935,473,1031,479,75000,1
-122.21,37.84,44,3424,597,1358,597,60194,1
-122.21,37.83,40,4991,674,1616,654,75544,1
-122.2,37.84,30,2211,346,844,343,60666,1
-122.21,37.84,34,3038,490,1140,496,70548,1
-122.19,37.84,18,1617,210,533,194,116017,1
-122.2,37.84,35,2865,460,1072,443,74882,1
-122.21,37.83,34,5065,788,1627,766,68976,1
-122.19,37.83,28,1326,184,463,190,82049,1
-122.2,37.83,26,1589,223,542,211,84010,1
-122.19,37.83,29,1791,271,661,269,68538,1
-122.19,37.82,32,1835,264,635,263,83170,1
-122.2,37.82,37,1229,181,420,176,70175,1
-122.2,37.82,39,3770,534,1265,500,63302,1
-122.18,37.81,30,292,38,126,52,63624,1
-122.21,37.82,52,2375,333,813,350,70549,1
-122.2,37.81,45,2964,436,1067,426,67851,1
-122.21,37.8,50,2833,605,1260,552,28929,1
-122.21,37.8,38,2254,535,951,487,30812,1
-122.21,37.81,52,1389,212,510,224,52402,1
-122.22,37.81,52,1971,335,765,308,65217,1
-122.22,37.8,52,2183,465,1129,460,32632,1
-122.22,37.8,52,2286,464,1073,441,30298,0
-122.22,37.8,52,2721,541,1185,515,45428,1
-122.22,37.81,52,2024,339,756,340,40720,1
-122.22,37.81,52,2944,536,1034,521,53509,1
-122.23,37.8,52,2033,486,787,459,31603,1
-122.23,37.81,52,1433,229,612,213,47708,1
-122.22,37.81,52,2927,402,1021,380,81564,1
-122.23,37.81,52,2315,292,861,258,88793,1
-122.24,37.81,52,2485,313,953,327,68591,1
-122.24,37.81,52,1490,238,634,256,60302,1
-122.23,37.81,52,2814,365,878,352,75080,1
-122.24,37.81,52,2093,550,918,483,27477,1
-122.24,37.8,52,888,168,360,175,21944,1
-122.25,37.8,52,2087,510,1197,488,30149,1
-122.24,37.81,52,2513,502,1048,518,36750,1
-122.25,37.81,46,3232,835,1373,747,32250,1
-122.25,37.8,42,4120,1065,1715,1015,29345,1
-122.25,37.8,43,2364,792,1359,722,21429,1
-122.25,37.8,41,1471,469,1062,413,16121,0
-122.25,37.8,29,2468,864,1335,773,13929,0
-122.24,37.79,27,1632,492,1171,429,23173,0
-122.25,37.79,45,1786,526,1475,460,17772,0
-122.25,37.79,50,629,188,742,196,26458,0
-122.25,37.79,52,1339,391,1086,363,21810,0
-122.25,37.8,36,1678,606,1645,543,22303,0
-122.25,37.8,43,2344,647,1710,644,16504,0
-122.24,37.8,52,996,228,731,228,22697,0
-122.24,37.8,52,1591,373,1118,347,21563,0
-122.24,37.8,52,1586,398,1006,335,21348,0
-122.24,37.8,47,2046,588,1213,554,26292,0
-122.23,37.8,52,1192,289,772,257,23833,0
-122.24,37.8,52,1803,420,1321,401,29570,0
-122.24,37.8,49,2838,749,1487,677,25238,0
-122.23,37.8,52,783,184,488,186,19375,0
-122.23,37.8,51,1590,414,949,392,19028,0
-122.23,37.8,50,1746,480,1149,415,22500,0
-122.23,37.8,52,1252,299,844,280,23929,0
-122.23,37.79,43,5963,1344,4367,1231,21917,0
-122.23,37.79,52,1783,395,1659,412,29357,0
-122.23,37.79,30,999,264,1011,263,18854,0
-122.24,37.79,39,1469,431,1464,389,21638,0
-122.24,37.79,47,1372,395,1237,303,21250,0
-122.24,37.79,52,674,180,647,168,33750,0
-122.24,37.79,43,1626,376,1284,357,22542,0
-122.25,37.79,51,175,43,228,55,21000,0
-122.25,37.79,39,461,129,381,123,16000,0
-122.25,37.79,52,902,237,846,227,36250,0
-122.26,37.8,20,2373,779,1659,676,16929,0
-122.22,37.77,52,391,128,520,138,16471,0
-122.22,37.77,52,1137,301,866,259,25900,0
-122.23,37.77,52,769,206,612,183,25700,0
-122.23,37.78,52,472,146,415,126,26429,0
-122.23,37.78,52,862,215,994,213,30257,0
-122.22,37.78,50,1920,530,1525,477,14886,0
-122.23,37.78,43,1420,472,1506,438,19338,0
-122.23,37.78,52,986,258,1008,255,14844,0
-122.23,37.78,44,2340,825,2813,751,16009,0
-122.23,37.79,48,1696,396,1481,343,20375,0
-122.23,37.79,49,1175,217,859,219,22930,0
-122.22,37.79,37,2343,574,1608,523,21494,0
-122.23,37.79,30,610,145,425,140,16198,0
-122.23,37.79,40,930,199,564,184,13281,0
-122.22,37.79,44,1487,314,961,272,35156,0
-122.22,37.79,52,3424,690,2273,685,39048,0
-122.21,37.79,52,762,190,600,195,30893,0
-122.22,37.79,46,2366,575,1647,527,26042,0
-122.22,37.79,49,1826,450,1201,424,25000,0
-122.22,37.79,38,3049,711,2167,659,27969,0
-122.2,37.79,29,1640,376,939,340,28321,0
-122.21,37.79,47,1543,307,859,292,29583,0
-122.21,37.79,34,2364,557,1517,516,28365,0
-122.21,37.79,35,1745,409,1143,386,28750,0
-122.21,37.8,39,2003,500,1109,464,30682,0
-122.21,37.8,39,2018,447,1221,446,30757,0
-122.2,37.8,43,3045,499,1115,455,49559,1
-122.2,37.8,52,1547,293,706,268,47721,1
-122.21,37.8,52,3519,711,1883,706,34861,0
-122.2,37.8,41,2070,354,804,340,51184,1
-122.21,37.8,48,1321,263,506,252,40977,1
-122.19,37.8,48,1694,259,610,238,47440,1
-122.19,37.8,46,1938,341,768,332,42727,1
-122.19,37.79,50,968,195,462,184,29844,0
-122.2,37.79,40,1060,256,667,235,41739,0
-122.2,37.8,46,2041,405,1059,399,38487,1
-122.19,37.8,52,1813,271,637,277,40114,1
-122.19,37.79,45,2718,451,1106,454,46563,1
-122.19,37.79,28,3144,761,1737,669,29297,0
-122.2,37.79,35,1802,459,1009,390,23036,0
-122.2,37.79,49,882,195,737,210,26667,0
-122.2,37.79,44,1621,452,1354,491,26190,0
-122.21,37.79,45,2115,533,1530,474,24167,0
-122.2,37.79,45,2021,528,1410,480,27788,0
-122.21,37.78,46,2239,508,1390,569,27352,0
-122.21,37.78,52,1477,300,1065,269,18472,0
-122.21,37.78,52,1056,224,792,245,26583,0
-122.21,37.78,49,898,244,779,245,30536,0
-122.22,37.78,44,2968,710,2269,610,23906,0
-122.21,37.78,43,1702,460,1227,407,17188,0
-122.21,37.78,47,881,248,753,241,26250,0
-122.22,37.77,40,494,114,547,135,28015,0
-122.22,37.78,50,1776,473,1807,440,17276,0
-122.22,37.78,44,1678,514,1700,495,20801,0
-122.22,37.78,51,1637,463,1543,393,24890,0
-122.21,37.76,52,1420,314,1085,300,17546,0
-122.21,37.77,52,591,173,353,137,40904,0
-122.21,37.77,52,745,153,473,149,26765,0
-122.2,37.77,49,2272,498,1621,483,24338,0
-122.21,37.77,46,1234,375,1183,354,23309,0
-122.21,37.77,43,1017,328,836,277,22604,0
-122.19,37.77,42,932,254,900,263,18039,0
-122.2,37.77,39,2689,597,1888,537,22562,0
-122.2,37.77,41,1547,415,1024,341,20562,0
-122.2,37.78,52,2300,443,1225,423,35398,0
-122.2,37.78,39,1752,399,1071,376,31167,0
-122.2,37.78,50,1867,403,1128,378,25401,0
-122.2,37.77,43,2430,502,1537,484,28980,0
-122.21,37.78,44,1729,414,1240,393,23125,0
-122.19,37.78,52,1026,180,469,168,28750,0
-122.19,37.77,52,2170,428,1086,425,33715,0
-122.19,37.77,52,2329,445,1144,417,35114,0
-122.19,37.78,52,2492,415,1109,375,43125,0
-122.19,37.78,52,2198,397,984,369,32200,0
-122.18,37.78,33,142,31,575,47,38750,1
-122.19,37.78,49,1183,205,496,209,52328,0
-122.19,37.78,52,1070,193,555,190,37262,0
-122.2,37.78,45,1766,332,869,327,45893,0
-122.18,37.79,39,617,95,236,106,52578,1
-122.18,37.79,41,1411,233,626,214,70875,1
-122.18,37.79,46,2109,387,922,329,39712,1
-122.19,37.79,47,1229,243,582,256,29514,0
-122.19,37.79,50,954,217,546,201,26667,0
-122.18,37.81,37,1643,262,620,266,54446,1
-122.18,37.8,34,1355,195,442,195,62838,1
-122.18,37.8,23,2317,336,955,328,67527,1
-122.13,37.77,24,2459,317,916,324,70712,1
-122.16,37.79,22,12842,2048,4985,1967,59849,1
-122.17,37.78,42,1524,260,651,267,36875,0
-122.17,37.77,30,3326,746,1704,703,28750,0
-122.18,37.78,43,1985,440,1085,407,34205,0
-122.18,37.78,50,1642,322,713,284,32984,0
-122.17,37.78,49,893,177,468,181,38750,0
-122.17,37.78,52,653,128,296,121,41750,0
-122.16,37.77,47,1256,,570,218,43750,0
-122.16,37.77,48,977,194,446,180,47708,0
-122.16,37.77,45,2324,397,968,384,35739,0
-122.16,37.77,39,1583,349,857,316,30958,0
-122.17,37.77,39,1612,342,912,322,33958,0
-122.17,37.77,31,2424,533,1360,452,18710,0
-122.17,37.76,41,1594,367,1074,355,19356,0
-122.17,37.76,47,2118,413,965,382,21842,0
-122.18,37.76,37,1575,358,933,320,22917,0
-122.17,37.76,38,1764,397,987,354,24333,0
-122.18,37.76,50,1187,261,907,246,19479,0
-122.18,37.76,52,754,175,447,165,39063,0
-122.18,37.76,49,2308,452,1299,451,18407,0
-122.18,37.77,27,909,236,396,157,20786,0
-122.18,37.77,42,1180,257,877,268,28125,0
-122.18,37.76,43,2018,408,1111,367,18913,0
-122.19,37.76,49,1368,282,790,269,17056,0
-122.18,37.77,52,2744,547,1479,554,22768,0
-122.18,37.77,51,2107,471,1173,438,32552,0
-122.18,37.77,52,1748,362,1029,366,20556,0
-122.19,37.76,52,2024,391,1030,350,24659,0
-122.2,37.76,47,1116,259,826,279,17500,0
-122.19,37.77,41,2036,510,1412,454,20469,0
-122.19,37.77,45,1852,393,1132,349,27159,0
-122.19,37.76,41,921,207,522,159,12083,0
-122.19,37.76,45,995,238,630,237,19250,0
-122.2,37.75,36,606,132,531,133,15809,0
-122.2,37.76,37,2680,736,1925,667,14097,0
-122.19,37.76,38,1493,370,1144,351,7683,0
-122.19,37.75,19,2207,565,1481,520,13194,0
-122.19,37.75,28,856,189,435,162,8012,0
-122.19,37.76,26,1293,297,984,303,19479,0
-122.19,37.74,36,847,212,567,159,11765,0
-122.18,37.74,42,541,154,380,123,23456,0
-122.19,37.73,44,1066,253,825,244,21538,0
-122.19,37.74,43,707,147,417,155,25139,0
-122.19,37.73,45,1528,291,801,287,12625,0
-122.18,37.73,42,909,215,646,198,29063,0
-122.18,37.73,43,1391,293,855,285,25192,0
-122.18,37.73,44,548,119,435,136,21111,0
-122.18,37.73,42,4074,874,2736,780,24550,0
-122.17,37.74,41,1613,445,1481,414,24028,0
-122.17,37.74,47,463,134,327,137,21500,0
-122.17,37.74,43,818,193,494,179,24776,0
-122.17,37.73,43,1473,371,1231,341,21587,0
-122.18,37.74,35,504,126,323,109,18438,0
-122.17,37.74,46,1026,226,749,225,30298,0
-122.17,37.74,46,769,183,693,178,22500,0
-122.18,37.74,46,2103,391,1339,354,22467,0
-122.18,37.75,45,330,76,282,80,40469,0
-122.18,37.75,46,941,218,621,195,13250,0
-122.17,37.75,38,992,,732,259,16196,0
-122.18,37.75,45,990,261,901,260,21731,0
-122.19,37.75,36,1126,263,482,150,19167,0
-122.18,37.75,43,1036,233,652,213,20690,0
-122.18,37.75,36,1047,214,651,166,17120,0
-122.17,37.76,33,1280,307,999,286,25625,0
-122.17,37.75,43,1587,320,907,306,19821,0
-122.17,37.75,41,1257,271,828,230,25043,0
-122.17,37.75,44,1218,248,763,254,23281,0
-122.17,37.75,48,1751,390,935,349,14375,0
-122.16,37.76,45,2299,514,1437,484,25122,0
-122.16,37.75,38,2457,624,1516,482,15625,0
-122.17,37.75,47,998,211,597,185,31587,0
-122.17,37.76,40,1685,343,949,342,18426,0
-122.16,37.76,46,1827,307,881,302,46696,0
-122.16,37.76,36,2781,574,1438,519,24598,0
-122.15,37.76,39,1823,286,763,270,60749,0
-122.14,37.77,27,2229,365,1297,355,48304,1
-122.14,37.76,34,1513,231,545,211,55701,1
-122.13,37.76,26,3266,491,1222,533,53700,1
-122.12,37.75,33,1809,261,808,219,68600,1
-122.12,37.75,28,794,111,329,109,76923,1
-122.14,37.75,36,690,105,299,109,40313,0
-122.14,37.75,33,1334,200,579,202,68323,1
-122.13,37.75,30,414,54,137,50,49750,1
-122.13,37.75,36,768,93,229,93,53602,1
-122.13,37.74,41,4400,666,1476,648,50000,1
-122.16,37.75,46,954,161,429,154,29250,0
-122.15,37.75,40,1445,256,849,255,38913,0
-122.15,37.75,44,1938,399,946,331,32250,0
-122.15,37.74,41,856,178,571,191,31458,0
-122.16,37.75,24,1790,454,1137,386,25370,0
-122.16,37.75,44,617,131,378,135,25568,0
-122.15,37.74,43,1383,275,853,272,35083,0
-122.15,37.74,49,1325,277,764,282,33125,0
-122.16,37.75,40,1227,294,928,261,18235,0
-122.16,37.75,35,667,140,406,133,38047,0
-122.17,37.74,34,1223,281,824,280,22917,0
-122.17,37.75,37,1379,287,835,259,24962,0
-122.16,37.74,43,1534,300,826,295,40417,0
-122.16,37.74,46,1029,181,567,211,34844,0
-122.16,37.74,52,771,147,355,144,41458,0
-122.16,37.74,47,824,223,533,166,26250,0
-122.16,37.74,44,1097,239,609,215,20227,0
-122.29,37.9,49,1283,238,576,236,33333,1
-122.29,37.9,52,1604,263,594,286,53380,1
-122.29,37.89,52,2248,422,870,377,34732,1
-122.3,37.9,38,2263,522,1027,509,35125,1
-122.29,37.89,52,1571,349,693,326,31375,1
-122.3,37.89,46,1520,402,815,375,28036,1
-122.3,37.9,15,5083,1212,2420,1146,45824,1
-122.3,37.89,36,1077,293,518,276,30208,1
-122.3,37.89,52,1248,283,620,275,40875,1
-122.33,37.89,42,1342,291,551,266,45268,1
-122.34,37.88,37,3061,930,2556,924,17375,1
-122.29,37.89,52,3171,698,1498,696,31795,1
-122.29,37.88,50,1211,261,523,227,38672,1
-122.29,37.89,52,979,175,374,153,51675,1
-122.29,37.89,52,2269,380,1004,371,51696,1
-122.28,37.88,52,1844,332,769,334,42614,1
-122.29,37.89,52,2178,421,940,423,50551,1
-122.27,37.9,42,1650,274,645,256,56228,1
-122.26,37.9,52,1927,279,705,288,78864,1
-122.27,37.9,52,2079,273,684,275,79556,1
-122.27,37.9,52,1803,240,572,236,61740,1
-122.27,37.9,52,2041,270,671,253,69414,1
-122.27,37.89,52,3046,373,975,365,88342,1
-122.28,37.9,52,2318,328,779,312,71754,1
-122.28,37.9,52,2003,250,658,244,100825,1
-122.28,37.9,52,2261,328,819,335,49083,1
-122.28,37.89,52,1225,169,412,168,57912,1
-122.28,37.89,52,2315,408,835,369,45893,1
-122.28,37.89,52,2070,329,722,306,54171,1
-122.28,37.89,52,2616,473,1085,487,41250,1
-122.27,37.89,52,2640,366,973,355,72660,1
-122.27,37.89,52,1978,293,723,272,53989,1
-122.26,37.9,37,2220,335,903,362,78336,1
-122.25,37.89,41,1125,195,356,181,61593,1
-122.26,37.89,52,3078,494,1005,462,63810,1
-122.26,37.89,52,3706,531,1205,504,66828,1
-122.25,37.89,37,3000,457,987,450,75385,1
-122.25,37.89,42,2863,460,1031,448,67138,1
-122.26,37.88,52,2551,417,894,404,62425,1
-122.26,37.88,52,2255,410,823,377,57979,1
-122.27,37.88,52,3360,648,1232,621,42813,1
-122.27,37.88,52,1693,391,669,367,35417,1
-122.27,37.88,44,2252,592,989,550,30132,1
-122.28,37.88,52,2495,491,1058,464,41429,1
-122.28,37.88,52,1193,200,506,207,41912,1
-122.28,37.88,52,1172,215,489,218,39167,1
-122.29,37.88,52,2159,424,824,388,38897,1
-122.29,37.88,48,2365,490,1034,475,31065,1
-122.29,37.88,46,1895,442,920,425,29926,0
-122.29,37.88,52,1650,395,841,380,35560,0
-122.3,37.88,45,453,146,749,137,14750,0
-122.3,37.88,52,409,97,208,98,16971,0
-122.3,37.87,10,503,118,228,100,21705,0
-122.3,37.86,50,499,127,287,128,27500,0
-122.29,37.85,52,477,119,218,106,25682,0
-122.3,37.88,46,1647,376,854,355,29000,0
-122.3,37.87,52,3123,749,1695,684,22208,0
-122.28,37.88,52,957,188,403,172,32344,1
-122.28,37.87,52,589,132,288,131,35156,0
-122.28,37.87,49,2026,548,963,521,19805,0
-122.29,37.87,50,1829,536,1129,516,26684,0
-122.29,37.87,52,895,198,386,204,38750,0
-122.28,37.88,52,1909,416,811,406,30060,1
-122.28,37.87,46,3022,696,1293,675,25430,1
-122.28,37.87,46,1777,446,805,431,28676,1
-122.27,37.88,52,2803,930,1372,876,21907,1
-122.27,37.87,30,1465,439,862,425,17778,1
-122.27,37.88,37,2619,682,1152,616,25200,1
-122.26,37.88,52,1149,255,483,249,42788,1
-122.26,37.88,52,2363,604,1558,573,29440,1
-122.26,37.88,52,2604,837,1798,769,17250,1
-122.25,37.87,41,685,141,266,123,52289,1
-122.25,37.87,42,1756,465,2184,422,25562,1
-122.25,37.87,52,1204,460,2016,477,9490,1
-122.25,37.87,52,609,236,1349,250,11696,1
-122.26,37.87,52,1087,371,3337,350,14012,0
-122.26,37.87,52,2773,998,1721,949,11859,1
-122.27,37.87,35,3218,1108,1675,1000,17464,1
-122.27,37.87,49,1350,368,707,350,28846,1
-122.27,37.87,52,3084,698,1424,694,27372,1
-122.28,37.86,52,938,195,393,189,38594,0
-122.28,37.87,52,1813,353,828,339,35625,0
-122.28,37.87,52,1233,300,571,292,22788,0
-122.29,37.87,44,2539,755,1382,713,25370,0
-122.29,37.87,46,1267,324,792,321,25250,0
-122.29,37.86,52,1665,404,815,372,19946,0
-122.28,37.86,52,1659,367,788,346,28214,0
-122.29,37.87,52,2225,460,1145,430,26165,0
-122.29,37.86,50,2485,607,1354,563,19483,0
-122.28,37.86,52,2031,450,958,445,19327,0
-122.28,37.86,49,2932,668,1361,608,19798,0
-122.28,37.85,52,2246,472,1005,449,24167,0
-122.27,37.86,49,2052,435,924,414,25417,0
-122.28,37.86,52,1999,417,780,358,33906,0
-122.28,37.86,52,3007,691,1582,636,25652,0
-122.28,37.86,41,2214,550,1213,568,22845,0
-122.27,37.86,52,1088,305,486,267,26071,1
-122.27,37.86,52,834,186,494,175,31500,1
-122.27,37.86,52,1769,372,849,365,26914,1
-122.27,37.86,52,2307,583,1127,548,18447,0
-122.26,37.86,35,5161,1744,3276,1742,16307,1
-122.26,37.86,52,3497,832,1493,794,29044,1
-122.26,37.86,52,3774,744,1461,679,29405,1
-122.26,37.86,52,2888,604,1253,538,33893,1
-122.25,37.86,48,2153,517,1656,459,30417,1
-122.25,37.86,52,1389,191,514,202,70897,1
-122.25,37.86,52,1709,318,719,295,50463,1
-122.25,37.86,52,1587,444,878,449,17652,1
-122.24,37.86,52,1668,225,517,214,78521,1
-122.24,37.85,52,3726,474,1366,496,93959,1
-122.25,37.86,52,4048,663,1316,590,53794,1
-122.26,37.85,52,3618,768,1508,755,32619,1
-122.27,37.85,52,4076,920,1800,815,27054,0
-122.27,37.85,47,2077,400,719,326,22431,0
-122.27,37.85,50,1279,300,675,255,19028,0
-122.27,37.85,52,1974,426,875,363,15817,0
-122.27,37.85,52,335,83,152,77,22841,0
-122.27,37.85,47,1375,307,843,319,13785,0
-122.28,37.85,52,610,145,281,132,29018,0
-122.28,37.85,44,1025,198,506,204,17300,0
-122.28,37.85,48,2063,484,1054,466,22625,0
-122.29,37.84,35,1872,419,1017,414,22106,0
-122.28,37.83,52,3108,813,1623,765,26997,0
-122.3,37.84,14,7355,2408,3100,2051,40018,0
-122.23,37.83,52,2990,379,947,361,78772,1
-122.22,37.82,39,2492,310,808,315,118603,1
-122.22,37.82,42,2991,335,1018,335,134990,1
-122.23,37.82,52,3242,366,1001,352,122138,1
-122.23,37.82,52,3051,381,1005,369,81872,1
-122.23,37.82,52,3494,396,1192,383,123804,1
-122.24,37.83,52,1757,246,585,227,58948,1
-122.24,37.83,52,2449,312,916,316,81194,1
-122.23,37.82,52,1611,203,556,179,87477,1
-122.24,37.82,52,3665,517,1470,520,61550,1
-122.25,37.82,52,2474,403,1104,398,58830,1
-122.23,37.76,52,3037,516,1242,518,52128,1
-122.23,37.76,52,2269,323,805,321,47188,1
-122.23,37.76,52,1316,177,378,162,52915,1
-122.24,37.77,52,1153,235,481,223,26411,1
-122.23,37.77,52,772,179,409,160,33214,0
-122.24,37.77,52,1711,386,885,373,36417,1
-122.25,37.77,52,2650,566,1468,567,30161,1
-122.25,37.77,52,1038,220,482,215,31771,1
-122.25,37.77,52,1527,320,825,264,34531,1
-122.25,37.77,52,859,157,429,158,43098,0
-122.26,37.78,52,970,217,528,208,33438,1
-122.26,37.78,52,1045,239,496,216,29213,0
-122.27,37.78,52,1408,280,718,265,26806,1
-122.27,37.78,52,1222,264,630,265,37708,1
-122.27,37.78,45,1169,263,723,286,39444,1
-122.27,37.78,13,2020,535,959,486,52601,1
-122.28,37.79,30,4145,869,3668,855,25444,1
-122.3,37.77,42,2038,368,2037,355,26447,0
-122.28,37.78,29,5154,,3741,1273,25762,0
-122.29,37.78,42,1241,309,821,300,19427,0
-122.28,37.77,52,1468,363,870,347,29688,1
-122.28,37.77,27,3997,1073,1901,966,37500,1
-122.29,37.76,18,2873,763,1243,663,51702,1
-122.28,37.78,50,1487,306,730,327,25139,1
-122.26,37.77,52,1670,350,793,299,29732,1
-122.27,37.77,52,2252,388,1033,434,55337,1
-122.27,37.77,52,1731,377,872,363,41667,1
-122.27,37.77,52,1710,481,849,457,27115,1
-122.27,37.77,52,2388,559,1121,518,33269,1
-122.25,37.77,52,2156,458,872,445,32685,1
